id,name,town,id_nummer,nb_employees,nb_employees_with_degree,address,method,year_of_reference,foundation_year,assets,profits,director,share_of_total_capital,status,date,contact,buying_price 1,buying_price 2,buyer_city,buyer,date_sale,surface_building,surface_for_devt,capital_on_sale 1,capital_on_sale 2,surface_agri,date_calls
54,ELNOS KOMERC,Bor,17018957,73,4,Danila Kiša 2,Bankruptcy,2010,1995,124167,0,,"69,87%",Contract terminated,,,,,,,,,,5125000,RSD,,
55,ŽARKO ZLATAR MDP - STENA WELD,Bela Crkva,8031274,106,-,Beogradska 50,Bankruptcy,,,,,,"70,00%",,,,,,,,,,,11595360,RSD,,
56,BRUNO / JEGRA - BRUNO,Inđija,8003467,75,3,Vojvode Stepe 48,Bankruptcy,,1950,,,,"70,00%",,,,,,,,,,,27814000,RSD,,
58,METAL SECCO,Gornji Milanovac,7176970,190,13,Radovana Grkovića bb,Bankruptcy,,1977,,,,"70,00%",,,,,,,,,,,47710000,RSD,,
62,NIŠAVSKA DOLINA,Pirot,7131291,53,6,Nikole Pašića 252,Bankruptcy,2010,1955,64949,0,,"70,00%",,,,,,,,,,,39542000,RSD,,
63,AZOTARA,Subotica,8537399,730,33,Bikovo 33,Bankruptcy,2010,1993,4748340,0,,"70,00%",,,,,,,,,,,,,,
64,METALOGRADNjA,Vrbas,8117845,77,3,Sivi Jovgena b.b.,Bankruptcy,,1985,,,,"70,00%",,,,,,,,,,,35972000,RSD,,
68,1. MAJ,Ždeglovo,7184611,121,2,Ždeglovo,Bankruptcy,,1958,,,,"70,00%",Contract terminated,,,,,,,,,,121431000,RSD,,
73,VOĆAR-KOCELjEVA,Koceljeva,7647107,219,14,6. LIČKA BR. 2,Bankruptcy,2010,1964,1889652,83019,,"69,42%",,,,,,,,,,,109319000,RSD,,
75,RADNIK,Požega,7112831,168,8,Knjaza Miloša 95,Bankruptcy,2010,1960,494,0,,"70,00%",Contract terminated,,,,,,,,,,35361000,RSD,,
76,GIP,Pančevo,8084394,123,3,Dositeja Obradovića 14,Capital Market,,1966,,,Zorica Jovanović,"70,00%",Contract terminated,08.January 2002.,Zorica Jovanović,,,,,,,46785,1203000,RSD,,
80,ZELE VELjKOVIĆ,Leskovac,7352336,69,3,Tekstilna 40,Bankruptcy,2010,1903,266788,827,,"70,00%",,,,,,,,,,,64125000,RSD,,
83,BAČKA,Odžaci,8008221,177,1,Somborska 20,Bankruptcy,2010,1946,73000,0,,"66,61%",,,,,,,,,,,75053000,RSD,,
85,MLADOST,Odžaci,8028435,291,7,Gračački put bb,Capital Market,2010,1980,255031,2834,Predrag Ljubović,"70,00%",Contract terminated,22.March 2002.,Zorica Čanković,,,,,,9942,,48180000,RSD,,
86,BELOCRKVANKA,Bela Crkva,8030235,118,1,Beogradska 38A,,2010,1978,20647,0,RADMILA ĐORĐEVIĆ,"70,00%",,22.January 2002.,RADMILA ĐORĐEVIĆ,,,,,,2249,5948,12215000,RSD,,
92,OLGA,Smederevska Palanka,7163541,172,4,10. Oktobar br.15,Bankruptcy,2010,,39572,0,,"70,00%",Contract terminated,,,,,,,,,,86058000,RSD,,
93,SLOBODA-TARA,Bajina Bašta,7155166,257,4,Lug b.b.,Bankruptcy,2010,1965,92834,0,,"70,00%",Contract terminated,,,,,,,,,,44703000,RSD,,
94,LjUBOMIR KARTALjEVIĆ DPIO,Pirot,7131097,274,2,Nikole Pašića 201/a,Bankruptcy,,1947,,,,"70,00%",,,,,,,,,,,14144000,RSD,,
95,"STEČAJNA MASA DP ""SOBOVICA""",Kragujevac,7150075,97,3,Internacionalnih brigada b.b.,Bankruptcy,2010,1974,72638,0,,"70,00%",,,,,,,,,,,27607000,RSD,,
107,MLEKARA,Pirot,7172389,50,3,Nikole Pašića 179/A,Capital Market,,1959,,,Milorad Mladenović,"70,00%",Contract terminated,06.February 2002.,Milorad Mladenović,,,,,,,30724,24773000,RSD,413152,
108,STRELA ŠUMADIJA,Aranđelovac,7236492,299,5,Branke Petrović 1,Bankruptcy,,1968,,,,"53,90%",Contract terminated,,,,,,,,,,13004000,RSD,,
112,CENTROBANAT-TRGOVINA,Zrenjanin,8647666,69,5,Brigadira Ristića 35a,Bankruptcy,2010,1997,29066,0,,"60,85%",Contract terminated,,,,,,,,,,40032000,RSD,,
113,TP PREHRANA AD SOMBOR,Sombor,8036101,347,1,Trg Svetog trojstva 1,Capital Market,2010,1971,420350,9954,Desanka Baštinac,"70,00%",Contract terminated,08.February 2002.,Žarko Avramović,,,,,,12100,22200,191467000,RSD,,
114,PROMET VRŠAC,Vršac,8105600,30,1,Trg Save Kovačevića 37,Bankruptcy,2010,1976,176417,1689,,"70,00%",,,,,,,,,,,,,,
122,MESOKOMBINAT,Leskovac,7205139,327,17,Tureskovac,Capital Market,,1961,,,Radovan Ilić,"69,83%",Contract terminated,11.February 2002.,Ljiljana Mitrović,,,,,,25116,77960,167423000,RSD,48460,
126,STEČAJNA MASA AD BUDUĆNOST,Paraćin,7115865,291,3,Svetog Save bb,Bankruptcy,2010,1954,250079,681,,"70,00%",,,,,,,,,,,109698000,RSD,,
129,FABRIKA ŠEĆERA STEČAJNA MASA,Kovin,8044325,284,5,Dunavska 75,Bankruptcy,,1959,,,,"70,00%",,,,,,,,,,,323344000,RSD,,
131,RUBIN,Kruševac,7154429,1114,115,Nade Marković 57,Tender,2010,1955,8178943,620110,Radoslav Dimitrijević,"70,00%",Sold,26.March 2002.,Dragan Jeremić,2013000000,RSD (converted),"SERBIA, 11080 Zemun-Beograd",INVEJ DOO (KONZORCIJUM),07.March 2005.,45366,139134,842359980,RSD,1386267,24.September 2004.
132,INDUSTRIJA STAKLA PANČEVO u restrukturiranju,,,,,,,2010</td><td>2011,,,,,,,,,,,,,,,,,,,28.October 2009.
133,SLOGA,Vladičin Han,7140371,482,23,Industrijska zona bb,Bankruptcy,2010,1954,211114,0,,"70,00%",Contract terminated,,,,,,,,,,30004000,RSD,,22.April 2008.
134,KOPAONIK / ŠIK KOPAONIK,,,,,,,2011,,,,,,Contract terminated,,,,,,,,,,,,,15.April 2003.
136,GODOMIN,Smederevo,7163665,686,52,Godominska 1,Bankruptcy,2010,1946,162111,0,,"70,00%",,,,,,,,,,,628578860,RSD,,
137,HEBA,Bujanovac,7205236,529,20,Industrijska zona bb,Tender,2010,1976,938105,1934,Miodrag Manasijević,"70,00%",Sold,26.March 2002.,Slađana Stojanović,250000000,RSD (converted),"SERBIA, Bačka Palanka",NECTAR D.O.O.,20.November 2008.,,,,,,29.April 2008.
138,KRISTAL,Zaječar,7202571,-,-,Staklarska bb,Bankruptcy,,,,,,,,,,,,,,,,,,,,
139,KERAMIKA,Mladenovac,7065434,1218,46,Raška Vukadinovića 39,Tender,2010,1950,1363064,0,Nenad Arambašić,"44,00%",Sold,26.March 2002.,Snežana Sikimić,112665900,RSD (converted),"SERBIA, beograd",Inter Gas Doo (Konzorcijum) - Keramika Mladenovac,19.June 2008.,79121,180270,270371000,RSD,49500,28.September 2007.
140,ŠIK KUČEVO u stečaju,Kučevo,7163223,595,6,Bože Dimitrijevića 4,Bankruptcy,2010,1946,486143,368,,"70,00%",Contract terminated,,,,,,,,,,313844000,RSD,,08.September 2006.
141,UKRAS,Bela Palanka,7106475,439,12,Srpskih Vladara 92,Bankruptcy,,1946,,,,"70,00%",,,,,,,,,,,632002000,RSD,,23.November 2004.
142,HEMPRO ŠID AD,Šid,8017140,98,-,Đure Jakšića 31,Capital Market,,,,,Branivoj Jovičić,,,18.March 2002.,Petar Stojanović,,,,,,,,,,,
143,SUBOTIŠTE PDP,Subotište,8036802,39,1,Kamenova bb,Bankruptcy,,1990,,,,"70,00%",,,,,,,,,,,35677000,RSD,,
144,SILOS,,,,,,,2010</td><td>2011,,,,,,Canceled privatization,,,,,,,,,,,,,
145,DOO PORCELAN-ZAJEČAR u stečaju,Zaječar,7202482,168,5,Železnička 13,Bankruptcy,2010,1950,1261983,0,,"100,00%",,,,,,,,,,,253999000,RSD,,24.April 2003.
146,PIONIR-RETEKS,Arilje,17007491,16,-,Miloša Glišića 42,Bankruptcy,,,,,,"70,00%",,,,,,,,,,,2970870,RSD,,
148,ŠUMADIJAPROMET,Topola,7123272,14,1,M.Blagojevića 5/Đ.Stanojevića / Pazinska 6 Beograd,Bankruptcy,2010,1957,74266,0,,"99,31%",Contract terminated,,,,,,,,,,47669197,RSD,,
149,JUGOSLOVENSKA KRZNARSKA INDUSTRIJA,Inđija,8061106,336,8,Vojvode Stepe 24,Bankruptcy,,1924,,,,"70,00%",,,,,,,,,,,57918000,RSD,,
150,MOL-KOMERC,,,,,,,,,,,,,Canceled privatization,,,,,,,,,,,,,
152,TISA,Novi Kneževac,8060657,195,5,Đure Jakšića 5,Capital Market,,1954,,,Božidar Uljarević,"69,00%",Contract terminated,08.February 2002.,Gordana Vajagić,,,,,,7621,26942,41852000,RSD,,
155,STEČAJNA MASA GP TEHNORAD,Rača,7113633,24,1,Karađorđeva 77,Bankruptcy,,1968,,,,"70,00%",,,,,,,,,,,151595000,RSD,,
156,AD LIVNICA 'VRŠAC' Vršac,Vršac,8044716,101,2,Miloša Obilića bb,Bankruptcy,,1874,,,,"69,40%",,,,,,,,,,,116498000,RSD,,
158,NISKOGRADNjA,Paraćin,7115725,130,3,Majora Gavrilovića bb,Bankruptcy,,1975,,,,"70,00%",,,,,,,,,,,17355800,RSD,,
162,MIP,Požarevac,7163169,350,18,Đure Đakovića 10,Bankruptcy,2010,1959,370588,523,,"70,00%",,,,,,,,,,,189097000,RSD,,
164,RADNIK,Beograd,7495994,28,2,Čarlija Čaplina 24,Bankruptcy,,1965,,,,"63,59%",Contract terminated,,,,,,,,,,1658000,RSD,,
173,RAKETA-PUTNIČKI SAOBRAĆAJ,Užice,7155905,792,14,Mihajla Pupina 1,Capital Market,2010,1949,709035,0,Željko Šišić,"70,00%",Contract terminated,15.March 2002.,Mirjana Milić,,,,,,7850,77255,161102000,RSD,,
174,GRAĐA,Beograd,7005083,16,3,Vojvode Đurovića 16,Capital Market,2010,1958,11640,0,Čedo Ćulibrk,"59,00%",Contract terminated,21.February 2002.,Čedo Ćulibrk,,,,,,900,4500,13976000,RSD,,
175,TRGOPRODUKT,Pančevo,8061513,213,4,Zmaj Jovina 4 / Vojvode Petra Bojovića 1,Bankruptcy,2010,1954,767049,0,,"70,00%",Contract terminated,,,,,,,,,,194454,RSD,,
177,POTISJE,Ada,8208468,56,6,Branka Radičevića 14,Bankruptcy,2010,1921,424644,0,,"70,00%",,,,,,,,,,,305474000,RSD,,
183,1. MAJ,Bogatić,7208618,75,5,Pavla Orlovića bb,Capital Market,,1979,,,,"70,00%",Contract terminated,28.February 2002.,,,,,,,3853,37742,24541000,RSD,,
185,SVOBODA DPK,Dimitrovgrad,7133138,557,-,Balkanska 94,Bankruptcy,,1946,,,,"70,00%",,,,,,,,,,,14754000,RSD,,
186,OMLADINKA,Niš,7133570,242,6,Ratka Pavlovića 77,,,1948,,,Saša Spasić,"70,00%",,19.February 2002.,Saša Spasić,,,,,,6322,13934,52486000,RSD,,
187,SPLENDID HUTDP,,,,,,,2009</td><td>2010,,,,,,Contract terminated,,,,,,,,,,,,,16.April 2011.
189,PRAG,Beograd,6932517,63,1,Narodnog fronta 27 / Kraljice Natalije 27,Capital Market,2010,1929,345041,3911,,"70,00%",Contract terminated,01.November 2001.,,,,,,,2744,582,49333000,RSD,,
193,JAVOR,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,,,,,,,,,,,25.April 2005.
195,INOVA,Nova Varoš,7245092,393,14,Kokin Brod,Bankruptcy,,1981,,,,"70,00%",,,,,,,,,,,91928000,RSD,,
196,JAVOR,Prijepolje,7110936,38,1,Sinđelićeva 24,Capital Market,,1948,,,,"70,00%",Contract terminated,06.March 2002.,,,,,,,3422,2007,5713000,RSD,6179,
197,OBNOVA,Lajkovac,7135696,108,-,Maršala Tita 100,Bankruptcy,,1970,,,,"40,19%",,,,,,,,,,,6094000,RSD,,
198,RASADNICI,Vranjska Banja,7207972,32,1,Ulica kralja Petra I oslobodioca 138,Bankruptcy,2010,1956,37847,0,,"70,00%",Contract terminated,,,,,,,,,,4585000,RSD,,
199,VUČJANKA,Vučje,7196598,220,3,industrijska bb,Bankruptcy,2010,1960,92351,0,,"70,00%",Contract terminated,,,,,,,,,,5143000,RSD,,
200,METALAC,Ivanjica,7206194,116,3,"Sađavac bb, (Ivanjica)",Bankruptcy,2010,1955,193199,0,,"70,00%",Contract terminated,,,,,,,,,,21261000,RSD,,
202,ŠAPČANKA,Šabac,7333803,89,8,Beogradski put bb,Bankruptcy,,1944,,,,"70,00%",,,,,,,,,,,258840000,RSD,,
204,AUTOSRBIJA,Beograd,7015186,104,2,Bulevar JNA 36,Capital Market,2010,1965,484130,0,,"68,10%",Contract terminated,05.March 2002.,,,,,,,284,52836,15160000,RSD,,
205,SINTETIKA,Leskovac,7352328,83,4,Tekstilna 40,Bankruptcy,2010,1903,196586,0,,"70,00%",,,,,,,,,,,73018000,RSD,,
206,TARATEKS DPK,Bajina Bašta,7210396,445,2,Dragoljuba Bešlića - Šabana bb,Bankruptcy,,1961,,,,"70,00%",,,,,,,,,,,158233000,RSD,,
208,DžERVIN PPK,Knjaževac,7148321,624,32,Karađorđeva 128,,2010,1927,710226,0,Mića Ivković,"70,00%",Contract terminated,01.February 2002.,Radiša Kuzmić,,,,,,95253,84255,271806000,RSD,18957653,08.March 2005.
210,DELIŠES PK u restrukturiranju,,,,,,,2009</td><td>2010,,,,,,,,,30043700,RSD (converted),,,,,,,,,25.October 2002.
211,PKS-LATEX-HLC AD,Čačak,7326947,283,36,Nikole Tesle 11,Bankruptcy,,1993,,,,"50,00%",Contract terminated,,,,,,,,,,104085000,RSD,,07.June 2002.
212,JUMKO,,,,,,,2010</td><td>2011,,,,,,,,,76400000,RSD (converted),,,,,,,,,
213,BAČKA IGM,Mali Iđoš,8050988,148,1,Kulski put 15,Bankruptcy,,1947,,,,"69,10%",,,,,,,,,,,20517000,RSD,,
214,BOŽO TOMIĆ,Čačak,7182309,492,14,Industrijski prolaz 18,,2010,1930,1393800,0,,"70,00%",Contract terminated,,,,,,,,31127,148844,,,,04.July 2002.
215,BN NAPREDAK,Beograd,7006756,47,1,Ratka Vujovića-Čoče 9(Patrijarha Joanikija),Bankruptcy,,1953,,,,"70,00%",,,,,,,,,,,8459000,RSD,,
216,NAPREDAK,Aranđelovac,7113188,126,6,Krčevački put bb,Bankruptcy,,1944,,,,"69,20%",,,,,,,,,,,16839000,RSD,,
217,JEDINSTVO DPP,Apatin,8129525,358,25,Srpskih vladara 45,Tender,2010,1998,2267568,7055,Đuro Đapić,"70,00%",Sold,01.February 2002.,Đuro Đapić,1260000000,RSD (converted),"SERBIA, Beograd",DELTA REAL ESTATE DOO,22.December 2005.,82653,16183,233087000,RSD,415613354,31.May 2005.
219,JELEN DO PPPGM,Jelen Do,7219784,394,7,31215 Jelen Do,Tender,2010,1948,2103810,7886,Miljko Radović,"70,00%",Sold,08.October 2001.,Miljko Radović,500000000,RSD (converted),"CROATIA,",NAŠICE CEMENT,08.August 2003.,,1081960,140638000,RSD,,16.September 2002.
220,RUDNIK,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,35250000,RSD (converted),,,,,,,,,07.June 2006.
222,FABRIKA ULjA / PLIMA M,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,,,,,,,,,,,19.December 2003.
224,AUTOPREVOZ / ATP-MORAVA / TRAVEL TRAVEL ATP MORAVA,Vrnjačka Banja,7183127,381,8,Vojvođanska 3-5,Capital Market,,1989,,,Krsta Perović,"69,50%",Contract terminated,28.March 2002.,Dragoljub Leković,,,,,,10086,86368,143646000,RSD,,
230,MILAN BLAGOJEVIĆ,Natalinci,7296355,46,1,34313 Natalinci,Bankruptcy,2010,1980,125371,0,,"70,00%",,,,,,,,,,,456000,RSD,,
231,ALPRODUKT,Aleksinac,6998674,90,4,Petra Zeca bb,Bankruptcy,2010,1998,176519,0,,"70,00%",,,,,,,,,,,103820000,RSD,,
232,Stečajna masa ZORKA KLOTILD 1904,Subotica,8660719,604,31,Edvina Zdovca 8,Bankruptcy,,1997,,,,"70,00%",,,,,,,,,,,717497000,RSD,,
233,PALIĆ,Palić,8236542,28,2,Ištvana Kizura 21,Bankruptcy,2010,1997,34302,0,,,,,,,,,,,,,,,,
234,SERVO MIHALj AD,Zrenjanin,8036250,-,-,Petra Drapšina 1,Capital Market,2010,,3811,0,,,,,,,,,,,,,,,,
235,DP 22 DECEMBAR,Beograd,7527969,-,-,Bulevar Mihajla Pupina 117,Bankruptcy,2010,,556424,0,,,,,,,,,,,,,,,,
237,APATINSKA PIVARA,Apatin,8045577,-,-,Trg oslobođenja 5,Capital Market,2010,,22547672,1000860,,,,,,,,,,,,,,,,
238,SFS SRPSKA FABRIKA STAKLA,Paraćin,7126417,3670,140,Staklarska 1-3,Tender,2010,1907,9494205,0,Slobodan Baletić,"69,28%",Sold,07.December 2001.,Slobodan Baletić,10000000,RSD (converted),"BULGARIA, Pleven",RUBIN,09.November 2006.,63672,424726,864589000,RSD,440484,01.June 2006.
240,JUGOREMEDIJA ad,,,,,,,2009</td><td>2010,,,,,,,,,,,,,,,,,,,14.February 2011.
241,TOPLIČANKA,Prokuplje,7107226,902,7,Vasilija Đurovića,Bankruptcy,,1962,,,,,,,,,,,,,,,,,,
243,UNIVERZALPROMET,Prokuplje,7215347,170,4,Železnička 4,Bankruptcy,2010,1959,38457,0,,"70,00%",,,,,,,,,,,4729000,RSD,,
250,"Stečajna masa ""SEMENARSTVO""",Šabac,7252579,74,9,Agroindustrijska zona bb,Bankruptcy,2010,1948,502790,3156,,"70,00%",,,,,,,,,,,63372000,RSD,,
251,SINIŠA NIKOLIĆ - DRAGOŠ,Pirot,7203322,486,27,Nikole Pašića bb,Bankruptcy,,1946,,,,"70,00%",,,,,,,,,,,57260000,RSD,,
252,Stečajna masa DP ITI,Ivanjica,7217030,1408,24,Bukovica bb,Bankruptcy,2010,1963,1455887,0,,"70,00%",,,,,,,,,,,182827000,RSD,,06.July 2006.
253,NISSAL,Niš,7185090,1255,-,Bulevar Svetog Cara Konstantina bb,Tender,2010,,3426637,20278,Gavrilo Ignjatović,,Sold,25.July 2001.,dr Tomislav Marinković,32500000,RSD (converted),"SERBIA, Beograd",DOMAL INŽENJERING,13.August 2003.,32560,110375,,,,22.April 2003.
254,VALjAONICA ALUMINIJUMA SEVAL,Sevojno,7606265,1172,93,Sevojno,Tender,,1975,,,Živorad Marjanivić,"70,00%",Sold,25.July 2001.,Radomir Dodok,650000000,RSD (converted),"SLOVENIA, Slovenska Bistrica",IMPOL,01.October 2002.,55008,,679371000,RSD,,24.May 2002.
256,BEOPETROL,Beograd,7524951,1597,115,Bulevar Mihajla Pupina 155 a,Tender,2010,1990,24471917,0,Mirko Rašović,"70,00%",Sold,09.October 2001.,Živko Đorđević,11700000000,RSD (converted),"RUSSIAN FEDERATION,",LUKOIL,26.September 2003.,23041,30858,755501000,RSD,,22.April 2003.
257,PIK TAKOVO / KoncernSwisslion-Takovo,Gornji Milanovac,7178107,3196,210,Radovana Grkovića b.b,Tender,2010,1962,5783235,453425,Darko Rašić,"70,00%",Sold,01.February 2002.,Darko Rašić,300000000,RSD (converted),"SERBIA, Novi Sad",Swisslion,05.February 2004.,384996,796609,893975000,RSD,,23.September 2003.
258,PKB FRIKOM MDD,Beograd,7042728,836,62,Zrenjaninski put bb,Tender,,1976,,,Željko Brozović,"55,49%",Sold,18.March 2002.,Milan Bursać,1100000000,RSD (converted),"CROATIA, Zagreb",AGROKOR,19.February 2003.,29410,116500,598313000,RSD,14695222,16.September 2002.
259,GIBNjARA,Kraljevo,7153872,241,10,Industrijska 27,Capital Market,2010,1958,557489,0,,"69,96%",Contract terminated,,,,,,,,,32592,356016000,RSD,,27.May 2002.
260,RUMAGUMA / MITAS,Ruma,8250600,677,32,Industrijska bb,Tender,2010,1981,2028319,9413,Milovan Lazić,"67,26%",Sold,25.July 2001.,Milovan Lazić,49406000,RSD (converted),"UNITED STATES,",GALAXY TIRE & WHEEL,31.January 2003.,36772,36772,509257000,RSD,77204,13.May 2002.
261,VULKAN IG,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,334206200,RSD (converted),,,,,,,,,20.June 2003.
262,MIV - MITROVAČKA INDUSTRIJA VENTILA,Sremska Mitrovica,8039453,545,16,Rumski put 1,Bankruptcy,2010,1959,575777,90,,"70,00%",Contract terminated,,,,,,,,,,78654000,RSD,,13.May 2002.
263,FRAD,Aleksinac,7187505,457,30,Petra Zeca 38,Tender,2010,1958,1073006,1743,Stojan Nikolić,"56,00%",Sold,05.July 2001.,Stojan Nikolić,80000000,RSD (converted),"SERBIA, Beograd",MPS Group Doo (Konzorcijum) - Frad (Aleksinac),08.August 2003.,9020,35824,116112000,RSD,,24.April 2003.
264,RAVANICA,Ćuprija,7166419,508,16,Borivoja Velimirovića bb,Auction,2010,1958,407015,379,Milutin Vasić,"70,00%",,08.October 2001.,,,,,,,7659,77478,58157000,RSD,,20.June 2003.
266,KOMPRESOR AK,Ćuprija,7166397,65,2,Cara Lazara bb,Capital Market,,1972,,,Nebojša Kojadinović,,Contract terminated,14.July 2002.,Nebojša Kojadinović,,,,,,,,,,,
267,AGROUNIJA,Inđija,8003572,572,43,Vojvode Stepe 20,Tender,2010,1976,3072655,289659,Milivoje Zečević,"70,00%",Sold,01.February 2002.,Milivoje Zečević,250000000,RSD (converted),"SERBIA, Beograd",MK GROUP DOO,12.July 2005.,40000,71,604909000,RSD,7607,30.December 2004.
268,SAVA KOVAČEVIĆ DPP / MIROTIN,Vrbas,8065888,397,31,Vinogradska kosa bb,Tender,2010,1946,3139692,37874,Dragan Tomašević,"70,00%",Sold,01.February 2002.,Dragan Tomašević,187000000,RSD (converted),"SERBIA, Vrbas",MIROTIN,10.December 2003.,,,541535000,RSD,38883796,05.June 2003.
269,ŠEĆERANA-JEDINSTVO,Kovačica,8096198,353,22,Novi Vinogradi bb,Tender,2010,1976,1060641,14178,Božidar Stojkov,"69,88%",Sold,24.October 2001.,Božidar Stojkov,300,RSD (converted),"SERBIA, Beograd",MK GROUP DOO,18.October 2002.,17700,241810,531138000,RSD,1576655,28.June 2002.
270,ŠAJKAŠKA,Žabalj,8058075,345,21,Čuruški put 3,Tender,2010,1975,3441199,299992,Željko Kovačević,"69,14%",Sold,24.October 2001.,Zoran Subić,110000000,RSD (converted),"GREECE,",HELLENIC SUGAR INDUSTRY,21.October 2002.,132903,479201,542284000,RSD,2152026,28.June 2002.
271,JUGOZAPADNA BAČKA,Bač,8024723,370,16,Suljkovača bb,Tender,2010,1975,642581,0,Zoran Popović,"66,84%",Sold,24.October 2001.,Zoran Popović,300,RSD (converted),"SERBIA, Beograd",MK GROUP DOO,21.October 2002.,,950000,375284000,RSD,680000,28.June 2002.
272,CRVENKA-FABRIKA ŠEĆERA,Crvenka,8004617,472,40,Masarikovoa 7,Tender,2010,1912,7558266,1059665,Aleksandar Radulović,"56,83%",Sold,17.October 2002.,Jasmina Bulatović,300000000,RSD (converted),"GREECE,",HELLENIC SUGAR INDUSTRY,14.February 2003.,47147,467890,251972000,RSD,,28.June 2002.
273,DONjI SREM,Pećinci,8071624,436,25,Oračko polje bb,Tender,2010,1975,2246052,0,Velimir Vukov,"69,87%",Sold,24.October 2001.,Velimir Vukov,300,RSD (converted),"SERBIA, Beograd",MK GROUP DOO,18.October 2002.,20997,707489,538270000,RSD,982539,28.June 2002.
274,HIPOL u restrukturiranju,,,,,,,2010</td><td>2011,,,,,,Contract terminated,,,130051500,RSD (converted),,,,,,,,,28.June 2005.
275,ZORKA FARMA,Šabac,7199821,577,127,Hajduk Veljkova bb,Tender,2010,1976,5803900,14073,Tomislav Sokić,"60,13%",Sold,25.July 2001.,Radisav Teodorović,1466643300,RSD (converted),"SERBIA, Vršac",HEMOFARM KONCERN,09.November 2002.,22036,148679,66737000,RSD,,20.June 2002.
276,MERIMA,Kruševac,7102160,1179,94,Stanoja Atanaskovića bb,Tender,2010,1839,11095512,1592030,Vladimir Marković,"68,33%",Sold,25.July 2001.,Vladimir Marković,1440000000,RSD (converted),"AUSTRIA, 1030 Vienna",HENKEL CENTRAL EASTERN EUROPE,30.September 2002.,35746,273666,704971000,RSD,,21.May 2002.
277,NOVITET,Novi Sad,8037833,713,11,Futoški put 51,Tender,,1947,,,v.d. Aleksandar Petrović,"70,00%",Sold,01.February 2002.,,220000000,RSD (converted),"SERBIA, Beograd",ZEKSTRA GRUPA - ZEKSTRA,11.March 2004.,11967,18647,214802000,RSD,,19.September 2003.
279,MLINOKOMERC,Vršac,8280428,-,-,Stevana Nemanje 12,Capital Market,2010,,115205,7259,,,,,,,,,,,,,,,,
